id_proprietario,partita_iva
824,95472765936
825,10911102500
826,14125055249
827,38321103900
828,21889676866
829,10317849639
830,82390344736
831,02051097460
832,50807854071
833,06606261856
834,54281703434
835,80427943983
836,95376064945
837,42638970033
838,01749041893
839,26108389113
840,80797872772
841,39931757105
842,51965749472
843,78560414132
844,96202244481
845,23134656433
846,08675235116
847,62134117556
848,12756055092
849,93484951255
850,09658153179
851,46318878848
852,17626523332
853,40114104882
854,41508170976
855,28209323431
856,08401215426
857,85115297994
858,64401537561
859,53762158768
860,94651110995
861,49451472313
862,37359779651
863,37509329320
864,96111570222
865,99852493963
866,71699196076
867,97286216388
868,67594488354
869,34696188566
870,01149562150
871,25470524383
872,97164256131
873,37342734298
874,39191776116
875,52481162947
876,84846143347
877,40410268739
878,93746119900
879,56514802428
880,24429574906
881,87142763051
882,39990984431
883,25481466773
884,94187441914
885,00208939522
886,11751277878
887,11894302788
888,85387615846
889,44600370256
890,72851148976
891,40662517158
892,86505303606
893,38252491155
894,02768169654
895,27091367519
896,16088687573
897,32752172170
898,71267336873
899,21310902185
900,27999176066
901,36824533223
902,94890768775
903,25789774376
904,20706169919
905,35046449716
906,21140547662
907,27183777741
908,11455163122
909,57043614231
910,98814555715
911,62025645197
912,66848172267
913,52950402865
914,79222151521
915,20109882872
916,68751179841
917,33317865010
918,46356602791
919,23363573840
920,63264186309
921,70461267702
922,58874321635
923,69707689498
924,74129698200
925,42496508393
926,68848198051
927,34737943800
928,67321629341
929,41105288977
930,42476052828
931,23282510475
932,80623874040
933,71270565096
934,56280255094
935,19116414210
936,85788430895
937,24083696724
938,77468315619
939,79347449523
940,11151815856
941,18784460725
942,46560343085
943,47387530034
944,91786492826
945,22058285848
946,02847530141
947,66731592100
948,86449317006
949,78174455873
950,18843427540
951,39581062151
952,23135507821
953,94430105716
954,20729283166
955,55408830587
956,28676318355
957,48908035319
958,27358863571
959,21941852238
960,28457065073
961,28952374710
962,50988865523
963,77763920633
964,25851423358
965,53031799096
966,68451868322
967,91091384163
968,50951935626
969,90457455334
970,90953019228
971,74860247903
972,84886383541
973,74183437074
974,23359388976
975,73970695096
976,74124271123
977,89538349078
978,23694292315
979,40016570727
980,88643381273
981,19341599140
982,97549949456
983,35126326523
984,36621952818
985,56217905137
986,87215301370
987,08161224712
988,37175948016
989,74206331309
990,32507473666
991,23231280249
992,19496891615
993,93908555362
994,94068505773
995,30045356708
996,75595035388
997,50558495565
998,46249904663
999,97802608129
1000,77717490249
1001,41611397633
1002,12127922106
1003,34800395895
1004,57109708948
1005,47595383023
1006,99499954297
1007,91407284332
1008,34865691610
1009,77114307861
1010,09208680293
1011,52782375448
1012,51161357612
1013,20516828120
1014,14091252302
1015,25654048264
1016,05629254127
1017,85417524221
1018,97489003458
1019,99162044884
1020,41543764290
1021,89028766333
1022,73805799736
1023,33794094714
1024,59008399302
1025,60193940421
1026,09227759041
1027,72229354203
1028,02893787735
1029,02066064658
1030,07401206618
1031,05226151973
1032,80631937747
1033,91761718314
1034,48814591380
1035,84181078633
1036,56904288982
1037,76587492177
1038,64447935408
1039,55429226747
1040,42447594026
1041,27798931742
1042,01228909487
1043,98293098893
1044,31930240574
1045,92123579514
1046,29338568542
1047,38938332870
1048,30772922794
1049,00958234268
1050,61195335547
1051,27915697362
1052,05930099215
1053,03976644820
1054,79489177270
1055,21889004908
1056,01107887784
1057,86842697833
1058,81231697348
1059,37855574385
1060,13562084464
1061,28223900588
1062,73388276814
1063,44143904455
1064,68411699118
1065,99715087899
1066,99729544090
1067,80838884658
1068,66215742619
1069,99166957484
1070,96035395514
1071,83961176412
1072,35986879588
1073,82002296749
1074,13475754482
1075,58937205395
1076,86189331272
1077,47423100829
1078,03215943022
1079,90981244161
1080,04919105440
1081,87730591627
1082,69647027831
1083,64162302681
1084,59657785138
1085,08313538101
1086,62814621962
1087,62396734517
1088,35375102786
1089,14227335343
1090,98926049863
1091,25284149155
1092,83751727140
1093,00201295997
1094,71423387000
1095,72535583045
1096,91695819025
1097,46742111105
1098,94475257110
1099,55524955812
1100,95768235700
1101,71717590093
1102,65354405574
1103,25724313522
1104,75919593280
1105,35454239840
1106,38024824307
1107,42604867127
1108,75553187927
1109,67604525092
1110,47216086264
1111,18188617803
1112,65350030129
1113,60815306179
1114,34238841503
1115,96192612769
1116,32603822072
1117,31943293175
1118,77511550962
1119,18685674403
1120,19295974417
1121,50465773099
1122,76085710351
1123,93908693986
1124,49725986351
1125,95980630559
1126,51183053920
1127,10070190552
1128,17165028694
1129,14983574951
1130,11390027133
1131,83700165571
1132,41654575743
1133,76539092204
1134,40138229653
1135,32757292250
1136,16150737340
1137,41274350649
1138,80690620201
1139,14721089859
1140,18070416388
1141,23815557844
1142,37408284829
1143,98947766486
1144,46967953210
1145,38376631302
1146,76496959850
1147,86539185800
1148,74805367108
1149,23026539700
1150,72336954524
1151,71642535586
1152,28604278223
1153,85117510529
1154,38866981587
1155,52720134523
1156,01390155959
1157,56457130486
1158,73344554194
1159,16040260047
1160,44421855042
1161,56525695871
1162,29801252101
1163,27664641985
1164,19295761081
1165,83684056448
1166,43892920830
1167,69102978215
1168,69944894481
1169,61790169898
1170,63964210606
1171,95435401015
1172,71091515023
1173,96959644453
1174,59584441276
1175,48597191099
1176,56722675788
1177,72264297071
1178,26325176489
1179,31441281172
1180,76939367604
1181,87397716571
1182,60334329972
1183,72647103084
1184,13319227110
1185,95465007827
1186,19974147383
1187,16362812324
1188,38900122216
1189,20254551873
1190,13508716367
1191,30321616580
1192,53087847824
1193,80470834945
1194,48487579183
1195,34233470098
1196,23742646125
1197,27722119845
1198,30145077771
1199,77334922795
1200,02473067559
1201,15565300203
1202,30261853535
1203,43353467553
1204,02005681698
1205,74615334246
1206,86677774462
1207,15341556206
1208,81543300073
1209,21891752940
1210,99541804847
1211,91318449001
1212,02642988215
1213,65956836637
1214,01174328692
1215,02557138602
1216,69092422740
1217,07013844554
1218,58624201252
1219,29912909131
1220,80001771288
1221,94143391084
1222,58761382484
1223,77821962922
1224,67139017624
1225,62464011473
1226,08109826919
1227,66064479138
1228,23636654583
1229,45899380643
1230,47637412002
1231,70203991318
1232,35988824836
1233,64372830875
1234,31735118618
1235,58227748973
1236,85867381741
1237,55055822526
1238,46754829707
1239,50746268984
1240,54283547876
1241,58197523775
1242,93524278682
1243,56662302026
1244,00505114596
1245,81503852766
1246,07642685245
1247,57270371718
1248,16532543771
1249,79241100748
1250,69086772812
